Symbol,Name,Status
BTAM,Ben Tam Inc Common Stock,inactive
LGNXZ,Ligand Pharmaceuticals Incorporated Glucagon Contingent Value Rt,inactive
RCVBS,RSE COLLECTION LLC MEMBERSHIP INT SER PORSCHE 944 TURBO S,inactive
PLPKF,PPK Group Ltd Ordinary Shares,inactive
NBDR,"No Borders, Inc. Common Stock",inactive
SMPFF,San Miguel Food & Beverage Inc Ordinary Shares,inactive
REAMS,RSE ARCHIVE LLC MEMBERSHIP INT SER - BORED APE YACHT CLUB 9159,inactive
CGAM,Concorde Gaming Corp Common Stock,inactive
FGPR,Ferrellgas Partners LP Unit New,inactive
PYCFF,Mount Logan Cap Inc Ordinary Shares,inactive
MTVMF,Metro Ticari Ve Mali Yatirimlar AS Common Stock (Turkey),inactive
AGRMF,AGRIMIN LTD SHS (Australia),inactive
KYMCF,Kyoritsu Maintenance Co Ltd. Ordinary Shares (Japan),inactive
WDBQB,WESTERN DUBUQUE BIODIESEL CL B,inactive
DTPKF,DIRECTA PLUS PLC Common Stock (United Kingdom),inactive
CBBHF,Cobalt Blue HLDGS Ordinary Shares,inactive
SCVPY,Siam Cement Public Co Limited Unsponsored ADR (Thailand),inactive
EVVL,EVIL EMPIRE DESIGNS INC COM,inactive
SEAN,Saean Group Inc. Common Stock,inactive
UNADF,UNION ANDINA DE CEMENTOS SAA Ordinary Shares,inactive
DHBUF,DELIVRA HEALTH BRANDS INC Ordinary Shares,inactive
RTPPF,Rio Tinto Plc Ordinary Shares,inactive
MAXAF,Maxclean Holdings Ltd Ordinary Shares (Cayman Islands),inactive
CEUMF,Century Global Commodities Corp Common Shares,inactive
EKCS,Electronic Control Security Inc Common Stock,inactive
TMSMF,TENNANT MINERALS LTD Ordinary Shares,inactive
FNMFO,Federal National Mortgage Association Pfd Conv Ser 2004-I 5.375%,inactive
APTY,APT Systems Inc. Common Stock,inactive
SNRG,Susglobal Energy Corp Common Stock,inactive
PSSS,"Puissant Industries, Inc. Common Stock",inactive
RNDKS,RSE ARCHIVE LLC MEMBERSHIP INT SER 1986 NES DONKEY KONG 3 VIDEO GAME Shares of Beneficial Interest,inactive
TCYMF,Tingyi Cayman Islands Hldgs Cp Ordinary Shares,inactive
VICT,"Victura Construction Group, Inc. Common Stock",inactive
FSNGF,FOSUN TOURISM GROUP Ordinary Shares,inactive
OASMY,VIVESTO AB American Depositary Receipts - Sponsored,inactive
SSGGF,SSGA SPDR ETFS Europe I PLC Exchange Traded Fund USD (Ireland),inactive
CIIT,TIANCI INTL INC COM NEW,inactive
BAGGF,Blende Silver Corp Common Stock (Canada),inactive
LBEV,Loud Beverage Group Inc. Common Stock,inactive
MHNLF,MEDNHADEN RESOURCE EFFICIENCY PLC ORG GBP0.01 (United Kingdom),inactive
PLUXF,POLLUX PROPERTIES INDONESIA TBK PT Ordinary Shares (Indonesia),inactive
DDPXF,"DB Commodity Short ETN due April 1, 2038 (Germany)",inactive
SHVTF,Select Harvests Limited Ordinary Shares (Australia),inactive
JAGR,Green Street Capital Corporation. Common Stock,inactive
KTDYF,Keystone Dairy Corp Ltd. Ordinary Shares (Australia),inactive
GRCGF,GUARDIAN CAP GROUP LTD Common Shares,inactive
HWARF,HEIWA REAL ESTATE CO LTD Ordinary Shares (Japan),inactive
ZGBEF,2G ENERGY AG SHS (Germany),inactive
PBIO,"Pressure BioSciences, Inc. Common Stock",inactive
SGHIY,Shanghai Industrial Holdings Limited American Depositary Shares,inactive
SNWAF,SANWA HOLDINGS CORP Ordinary Shares,inactive
COFSF,Colour Life Services Group Co HKD Shares (Cayman Islands),inactive
FPRUY,Fraport AG Unsponsored ADR (Germany),inactive
AOAO,ALPHA ONE INC Common Stock,inactive
AMIGF,"Admiral Group plc, Cardiff Ordinary Shares (United Kingdom)",inactive
BRNHF,BRONCUS HLDG CORP Ordinary Shares,inactive
TCLCF,Transcontinental Inc Class B Ordinary Shares (Canada),inactive
FMCCO,Federal Home Loan Mortgage Corporation Preferred Stock,inactive
PINXF,Peoples Insurance Co Group of China Ltd. Ordinary Shares (China),inactive
PAOG,"PAO Group, Inc. Common Stock",inactive
OYRRF,OY ROBIT ROCKTOOLS LTD Ordinary Shares (Finland),inactive
TGGI,"Trans Global Group, Inc. Common Stock",inactive
HULCF,"Hulic Co Ltd, Tokyo Ordinary Shares",inactive
TLKAF,Tulikivi Oy Shs A Ordinary Shares,inactive
LYXOF,LYXOR INDEX FUND SICAV SHS LYX FLOATING RATE NOTE UC ETF DIST Exchange Traded Fund,inactive
ANMP,"Anacomp, Inc. Common Stock",inactive
FRPC,First Republic Corporation of America (The) Common Stock,inactive
ATOR,Astor Explorations Corp. Common Stock,inactive
FGROY,Firstgroup Plc Unsponsored ADR (UK),inactive
HZNTU,Horizon Ethanol LLC Cap Unit Class A,inactive
LLND,Landmark Land Co Inc Common Stock,inactive
JAZTF,Jazztel plc Ordinary Shares (United Kingdom),inactive
MONRF,Moncler S.P.A. AOR SVN - Ordinary Shares (Italy),inactive
SFRI,Safari Corp  .001 Common Stock,inactive
WMMVF,Wal-mart de Mexico S A B de C V Ordinary Shares,inactive
NDVAF,Indiva Ltd. Ordinary Shares,inactive
SHAVF,Scottish American Investment Co Plc Ordinary Shares (United Kingdom),inactive
TRGGF,TARACHI GOLD CORP Common Stock,inactive
DNBBF,DNB NOR BANK ASA Ordinary Shares (Norway),inactive
LAGR,L A Gear Inc Common Stock,inactive
TDBKF,Toronto Dominion Bank Ontario Preferred Series 7 (Canada),inactive
NRCIF,NORCOM INFORMATION TECHNOLOGIES AG KGAAINHABER AKTIEN O N (German Federal Republic),inactive
RVVIS,RSE ARCHIVE LLC MEMBERSHIP INT SER - 13BEAUX 2013 VOSNE-ROMANEE LES BEAUX,inactive
CCOOF,Core Assets Corp Common Shares (Canada),inactive
EQKR,EQK Realty Investors I Common Stock,inactive
FSNUF,FRESENIUS SE & CO KGAA  Ordinary Shares,inactive
NVYTF,Novacyt Shs Nom Non Liberee (France),inactive
IRSVF,ISHARES V PLC MSCI WORLD HEALTH CARE SECTOR UCITS ETF USD DIST (Ireland),inactive
CRSLF,CAR GROUP LTD Ordinary Shares,inactive
CKNQP,Cobank ACB Fixed/Floating Series H Perpetual Preferred Stock Non-Cumulative,inactive
CBLUF,China Bluechemical Ltd Shs -H- (China),inactive
OOOOF,OOOOO ENTMT COMM LTD COM (Canada),inactive
BTSR,"BrightStar Information Technology Group, Inc. Common Stock",inactive
FLLWF,Fullwealth International Group Holdings Ltd Ordinary Shares (Cayman Islands),inactive
EDVR,ENDEAVOR BANCORP Common Stock,inactive
BSKZF,Bambuser AB Common Stock (Sweden),inactive
BKHPF,Bank Hapoalim BM Ordinary Shares,inactive
FGPPF,Frontier IP Group Plc Common Shares (United Kingdom),inactive
MDVP,Med Spa Vacations Inc Common Stock,inactive
RHNO,Rhino Resource Partners LP Common Stock,inactive
RSYS,,inactive
PSBAF,PT SUMBER ALFARIA TRIJAYA TBK SHS NEW (Indonesia),inactive
RYNL,Reynaldos Mexican Food Company Common Stock,inactive
VPIM,Vitality Prime Inc. Common Stock,inactive
BLSTF,Blackstone Minerals Ltd Common Stock (Australia),inactive
NSYC,National Stock Yards Company Common Stock,inactive
KLTI,"KlausTech, Inc. Common Stock",inactive
CRAYF,Crayon Group HLDG AS Common Shares  Norway (NO),inactive
FLLIY,Folli Follie Group Unsponsored ADR (Greece),inactive
ITONF,Ito En Ltd Preferred Shs Class 1 (Japan),inactive
CGSO,"Centergistic Solutions, Inc. Common Stock",inactive
UBQU,Ubiquitech Software Corp. Common Stock,inactive
BUGDF,Bumrungrad Hospital Public Co Ltd BH Units Non-Voting Depository Receipt (Thailand),inactive
IRCWF,IRC Ltd Hong Kong Ordinary Shares (Hong Kong),inactive
KHJCF,Kohnan Shoji Co Ltd Com Stk (Japan),inactive
ROKK,ROKK3R INC. Common Stock,inactive
SASEF,Sas Dragon Hldgs Ltd Ordinary Shares (Bermuda),inactive
FNMAK,Federal National Mortgage Association Series N Preferred Stock,inactive
ISXAF,IShares ETF (Switzerland),inactive
BKLIF,Blockmint Technologies Common Shares (Canada),inactive
CPWIF,China Power International Development Ltd Ordinary Shares (Hong Kong),inactive
EXXRF,Exor NV  Ordinary Shares,inactive
GERS,Greenshift Corporation Common Stock,inactive
SHJBF,SHANGHAI JUNSHI BIOSCIENCES CO LTD SHARES H 01877 (China),inactive
STAOF,Sing Tao News Corp Ltd Ordinary Shares,inactive
CXGEF,Computer & Technologies Holdings Ltd Ordinary Shares (Bermuda),inactive
TLTZF,Tele2 AB Ordinary Shares,inactive
TMAK,"Touchmark Bancshares, Inc. Common Stock",inactive
ISMJF,IShares VII PLC Ordinary Shares,inactive
HCEI,"Healthy Coffee International, Inc. Common Stock",inactive
SETY,"Star Entertainment Group, Inc. Common Stock New",inactive
CEHCF,COSMO ENERGY HLDGS CO LTD Ordinary Shares,inactive
CNECF,CENTURIA CAP GROUP FULLY PAID ORDINARY UNITS STAPLED SECURITIES (Australia),inactive
NSFDF,NXT Energy Solutions Inc. Ordinary Shares (Canada),inactive
HYPBY,Hypebeast Limited American Depositary Receipts - Sponsored,inactive
DUVNF,Peruvian Metals Corp. Common Shares,inactive
FBVI,FCN BANC CORP CDT-COM,inactive
ENDTF,Canoe EIT Income Fund Units (Canada),inactive
ISHXF,iShares Core Canadian  Government Bond Index ETF Unit,inactive
CTRRF,CT Real Estate Invt Tr Unit (Canada),inactive
UNXLQ,UNI-PIXEL INC Common Stock,inactive
NTTHF,Neo Lithium Corp  Ordinary Shares (Canada),inactive
LITUF,MIRAE ASSET ETF ICAV GLOBAL X LITHIUM & BATTERY TECH UCITS ETF USD (Ireland),inactive
HBGRF,Heidelberger Druck Dem 5 Ordinary Shares,inactive
SMDCF,Shl Telemedicine Ltd Ordinary Shares (Israel),inactive
GGXXF,GGX Gold Corp. Ordinary Shares,inactive
VLMRY,Vilmorin & Cie SA American Depositary Receipts - Unsponsored (France),inactive
MNTR,"Mentor Capital, Inc. Common Stock",inactive
MTEI,Mountain Energy Inc Common Stock,inactive
LAREF,LAR Espana Real Estate S A Ordinary Shares (Spain),inactive
ACNE,Alice Cons Mines Inc Common Stock,inactive
NWBD,"New World Brands, Inc. Common Stock",inactive
401ESC025,ESC GUARDION HEALTH SCIENCES INC,inactive
ACSBL,Access Bk Nigeria Plc Sponsored GDR Reg S (Nigeria),inactive
DOEGF,Dor Alon Energy In Israel 1988 Ltd Ordinary Shares (Israel),inactive
TBVPY,Thai Beverage Public Co Ltd Unsponsored ADR (Thailand),inactive
NSHKF,Nippon Shokubai Co Ltd Ordinary Shares (Japan),inactive
EKNL,EKO International Corp NEW Common Stock,inactive
BRIBF,BRII BIOSCIENCE LTD Ordinary Shares,inactive
FAGI,"Full Alliance Group, Inc. Common Stock",inactive
KWHAF,K Wah Intl Hldgs Ltd Ord Ordinary Shares,inactive
VCST,ViewCast.com Inc Common Stock,inactive
PXCE,"Pax Clean Energy, Inc. Common Stock",inactive
MOBIF,MOBI724 GLOBAL SOLUTIONS INC  Common Shares,inactive
HINOY,Hino Motors Ltd American Depositary Shares,inactive
ARNGF,ARGONAUT GOLD INC NEW COM (Canada),inactive
INDNF,INDUSTRIAL MINERALS LTD ORDINARY FULLY PAID (Australia),inactive
AJIA,Ajia Innogroup Holdings Limited Common Stock,inactive
VARTY,VARTA AKTIENGESELLSCHAFT  American Depositary Receipts - Unsponsored (Germany),inactive
FSSN,Fision Corp Common Stock,inactive
CWAFF,China Water Affairs Group Ltd Ordinary Shares (Bermuda),inactive
VGGIF,Boosh Plant-Based Brands Inc Common Stock (Canada),inactive
JXHLY,Eneos Holdings Inc American Depositary Receipts - Unsponsored,inactive
HLUKF,H Lundbeck A/S Common Stock,inactive
TNABY,Tenaga Nasional Berhad American Depositary Shares,inactive
KRBRF,KORAB RESOURCES LTD Ordinary Shares,inactive
LTUC,Little Sioux Corn Processors LLC Membership Unit Class C,inactive
VLRZF,VALOR HLDGS CO LTD Ordinary Shares (Japan),inactive
ASPR,"Adsouth Partners, Inc. Common Stock",inactive
AKBLF,Alk-Abello A/S Ordinary Shares,inactive
VOIS,"Mind Solutions, Inc. Common Stock",inactive
LONE,Lonestar Resources US Inc. Common Stock,inactive
ISVQF,Ishares IV Plc Short Duration Corp Bond UCITS USD Acc Exchange Traded Fund (Ireland),inactive
PRVCF,PreveCeutical Medical Inc. Ordinary Shares (Canada),inactive
GTNLF,"GTN LTD, ORDINARY FULLY PAID (Australia)",inactive
CPKPF,CP Pokphand Co Ltd  Ordinary Shares (Bermuda) USD $.01 Par,inactive
TJBH,Tengjun Biotechnology Corp. Common Stock,inactive
STHI,SPROUT TINY HOMES Common Stock,inactive
CTWD,Cottonwood Multifamily Opportuity Fund Inc. REIT,inactive
GDIFF,"GDI Integrated Facility Services, Inc. Subordinate Voting Ordinary Shares (Canada)",inactive
VCOGF,Vicotoria Oil & Gas Plc London Ordinary Shares,inactive
ATTBF,Abattis Bioceuticals Corp. Ordinary Shares (Canada),inactive
ARHCF,Alfresa Holdings Corp Tokyo Ordinary Shares (Japan),inactive
JDQTF,"Jasdaq-Top20 ETF, Tokyo UNITS 2010 -without fixed maturity (Japan)",inactive
AZGSQ,"Aztec Oil & Gas, Inc. Common Stock",inactive
TRGNF,Transgene S.A. Ordinary Shares,inactive
BNGRF,SAVENCIA S A SHS (France),inactive
GRFFF,GRUPO FINANCIERO BANAMEX SA DE CV CERTIFICADOS BURSATILES FIDUCIARIOS INMOBILIARIOS Ordinary Shar(Mexico),inactive
NBVB,Nationwide Beverage Bottling Corp Common Stock,inactive
IENVF,Infraestructura Energetica Nova SA B DE CV Shs (Mexico),inactive
ALVOF,ALVOPETRO ENERGY LTD COM NEW (Canada),inactive
KDDIF,KDDI CORP Ordinary Shares,inactive
ISTXF,Ishares PLC Treasury Bond 1 3 Year UCITS ETF (Ireland),inactive
VRTA,"Vestin Realty Mortgage I, Inc. Common Stock",inactive
WOLWF,Woolworths Ltd Ord Ordinary Shares,inactive
LKHLY,Lonking Holdings Ltd Unsponsored ADR (Cayman Islands),inactive
ATEPF,Astra Exploration Inc Common Stock (Canada),inactive
JFBC,JEFFERSONVILLE BANCORP CDT-COM,inactive
CYLC,County Line Energy Corp. Common Stock,inactive
JSCPY,JSR Corporation Unsponsored ADR (Japan),inactive
OILY,Sino American Oil Company. Common Stock,inactive
TTALF,Terveystalo Oy Ordinary Shares (Finland),inactive
GEGI,"Genesis Electronics Group, Inc. Common Stock",inactive
RVVPS,RSE ARCHIVE LLC MEMEBERSHIP INT SER - DIMAGGIO3 1950 DIMAGGIO JERSEY,inactive
BTGWF,BTS Group Holdings Public Company Ltd. NVDR Shares (Thailand),inactive
UNBLF,UNIBAIL-RODAMCO SE Ordinary Shares,inactive
NINOF,Nikon Corp Ordinary Shares,inactive
ARCXF,ArcelorMittal South Africa Ordinary Shares (South Africa (ZA)),inactive
NLSC,"Namliong SkyCosmos, Inc. Common Stock",inactive
SMCBF,Siam Commercial Bk Ordinary Shares,inactive
NSWEF,Nitro Software LTtd Ordinary Shares (Australia),inactive
RKICF,MIROKU JYOHO SERVICE CO LTD Ordinary Shares,inactive
GBRIF,Golden Band Resources Inc (F) Ordinary Shares,inactive
XNNHQ,"Xenonics Holdings, Inc. Common Stock",inactive
IEMBF,ISHARES V PLC USD EMERGING MKTS CORP BD UCITS ETF Exchange Traded Fund Ireland(IE ),inactive
FNMAG,Federal National Mortgage Association 5.375% Non-Cumulative Pfd Srs I,inactive
ITEGY,Hyve Group Plc American Depositary Receipts - Unsponsored,inactive
GEDUF,G8 Education LTD Common Shares,inactive
QURT,"Quarta-Rad, Inc. Common Stock",inactive
NLGCF,Northern Lion Gold Corporation Common Shares,inactive
ARAO,"AuraSource, Inc. Common Stock",inactive
MSLOF,Mitsui Osk Lines Ordinary Shares,inactive
MGWFF,"Maple Leaf Green World, Inc. Ordinary Shares",inactive
FNXLF,Fenix Financial Ltd. Common Stock (Bermuda),inactive
CMGMF,Chemring Group plc Ordinary Shares (United Kingdom),inactive
TOPCF,Topcon Corp Ordinary Shares,inactive
SNLS,San Luis Trust Bank FSB (CA) Common Stock,inactive
YYYH,CHINA YANYUAN YUHUI NATL ED GROUP INC Common Stock,inactive
OZSC,"Ozop Energy Solutions, Inc. Common Stock",inactive
MAOIF,MANITOU BF SA SHS (France),inactive
ISGBF,ISHARES III PLC ISSUE DESCRIPTION ISHARES GOVT BD 0-1YR UCITS ETF EUR DIST Exchange Traded Fund,inactive
FCREY,Fletcher Building Ltd Sponsored American Depository Receipt (New Zealand),inactive
AMRU,"Amaru, Inc. Common Stock",inactive
CODAF,Codan Ltd Ordinary Shares (Austrailia),inactive
NPNZF,Nippon Antenna Co Ltd Ordinary Shares (Japan),inactive
IRAMF,INDORAMA VENTURES CO LTD FOREIGN SHARES (Thailand),inactive
TALN,"Talon International, Inc Common Stock",inactive
BONTQ,BON-TON STORES INC Common Shares,inactive
RSLBS,RSE ARCHIVE LLC MEMBERSHIP INT SER - 03LEBRON3 2003-04 SP AUTHENTIC LEBRON (AUTOGRAPH ROOKIE CARD),inactive
CGYV,"China Energy Recovery, Inc. New Common Stock",inactive
RSPDS,RSE ARCHIVE LLC MEMBERSHIP INT SER - SPIDER1 1963 AMAZING SPIDER-MAN #1 Shares of Beneficial Interest,inactive
WSDMF,WISDOMTREE ISSUER PLC Ptg.Shs Exchange Traded Fund Class Hedged USD (Ireland),inactive
GRDSF,Groundstar Resources Limited Ordinary Shares,inactive
LHUAY,Lianhua Supermarket Holdings Co Ltd Unsponsored ADR (China),inactive
XRXH,"Entertainment Holdings, Inc. Common Stock",inactive
DRNG,"DRONE GUARDER, INC. Common Stock",inactive
AYTEF,Barclays Bk PLC iPath GEMS Asia 8 ETN due 04/08/2038 (United Kingdom),inactive
ATRTF,ALTAREIT ORD (France),inactive
ARHGS,RSE COLLECTION LLC MEMBERSHIP INT SER 1974 INCREDIBLE HULK #180,inactive
GAERF,Grupo Aeroportuario del Centro Norte Shares B (Mexico),inactive
RYSKF,Reysas Tasimacilik Ve Lojistik Ordinary Shares (Turkey),inactive
DUNIY,Duni Ab Unsponsored ADR (Sweden),inactive
TNTSF,TRIANT HLDGS INC Common Shares,inactive
DRIFF,Xiana Mining Inc Ordinary Shares (Canada),inactive
PTOG,"Petrotech Oil & Gas, Inc. Common Stock",inactive
NXTFF,Nextraction Energy Corp Ordinary Shares,inactive
MAVBF,Mav Beauty Brands Inc Common Shares (Canada),inactive
DWWEF,DIAMOND ESTATES WINES & SPIRIT INC COM NEW (Canada),inactive
ROSUQ,ROSEHILL RES INC Unit   04/27/2022,inactive
JETGF,JPMorgan Fleming Continental European Investment Trust Plc Shs-Growth-Class (United Kingdom),inactive
MUSS,Multi Solutions II Inc Common Stock,inactive
MSTUF,M.C.S. STEEL PUBLIC CO LTD NVDR SHARES Depositary Shares,inactive
GRGTF,Grainger PLC Ordinary Shares (United Kingdom),inactive
RTME,RTCORE INC Common Stock,inactive
FOSUF,Fosun International Ltd Ordinary shares (China),inactive
WNRS,WINNERS INC Common Stock,inactive
VITOF,Vitro Sa Mexico Ordinary Shares,inactive
GURNF,Gurunavi Inc Ordinary Shares,inactive
RITT,RIT TECHNOLOGIES LTD Common Stock,inactive
TNSGF,Findev Inc Common Shares,inactive
MAXD,Max Sound Corporation Common Stock,inactive
BRYFF,Bri-Chem Corp Ordinary Shares (Canada),inactive
GZPZY,Gaztransport & Tecnigaz American Depository Receipt (France),inactive
DCYHY,Discovery Holdings Ltd Unsponsored ADR (South Africa),inactive
ERIAF,Telefon AB LM Ericsson Shares A (Sweden),inactive
JRONF,Jeronimo Martins 13.50 Cv Pfd Ordinary Shares,inactive
TVTOF,TV2U International Ltd Ordinary Shares (Australia),inactive
NPIFF,NORTHLAND PWR INC COM (Canada),inactive
VICP,"Vicapsys Life Sciences, Inc. Common Stock",inactive
UHDFF,INVESCO S&P 500 HIGH DIVID LOW VOLATILITY INDEX USD Unit ETF (Canada),inactive
ADEC,Alternative Energy Development Corporation Common Stock,inactive
BWEFF,BW ENERGY LTD Ordinary Shares (Bermuda),inactive
RWJCF,RENEWABLE JAPAN CO LTD Common Stock,inactive
EPRHF,CHINA CONCH ENVIRONMENT PROTN HLDGS LTD Ordinary Shares,inactive
ABDDF,Ab Dynamics PLC Ordinary Shares (United Kingdom),inactive
TSYI,"Terra Systems, Inc. Common Stock",inactive
NPNGY,Nippon Gas Co Ltd American Depositary Receipts - Unsponsored,inactive
RVLT,"Revolution Lighting Technologies, Inc. Common Stock",inactive
IMQCF,Inmobiliaria Colonial Socimi SA Ordinary Shares,inactive
IMNPQ,IMMUNE PHARMACEUTICALS INC Common Stock,inactive
SGGDF,Sage Gold Inc Ordinary Shares (Canada),inactive
LOGN,LOGANSPORT FINL CORP COM,inactive
MSTF,"Monarch Staffing, Inc. Common Stock",inactive
TCRRF,Terrace Energy Corp. Common Shares,inactive
HLLGY,Hella Gmbh & Co Kgaa American Depositary Receipts - Unsponsored,inactive
WBTMU,Westbrook-Thompson CDT - Royalty Unit,inactive
SYDRF,Delota Corp Common Shares,inactive
NEWG,NewGen BioPharma Corp. Common Stock,inactive
ENNPF,ENBRIDGE INC CUM RED PREF SHS SER N (Canada),inactive
IREP,"Interep National Radio Sales, Inc. Class A Common Stock",inactive
DUERF,Duerr A G Ordinary Shares,inactive
DSCR,Discovery Minerals Ltd. Common Stock,inactive
SCUPF,AEGIS BRANDS INC Common Shares,inactive
MNRHF,Menorah Mivtachim Holdings Ltd Ordinary Shares (Israel),inactive
NDMCF,New Destiny Mining Corp Common Shares (Canada),inactive
PEMSF,Pacific Empire Minerals Corporation Common Shares (Canada),inactive
NEXOF,Nexon Co Ltd Ordinary Shares (Japan),inactive
ITGMF,I.T.G.I MEDICAL LTD Common Stock,inactive
SIACF,STAR ASIA INVT CORP SHS  (Japan),inactive
ESVIF,Ensign Energy Services Inc. Ordinary Shares (Canada),inactive
ETWLF,EASTOWER WIRELESS INC Common Shares,inactive
CESSF,"Chesser Resources Ltd, Adelaide Ordinary Shares (Australia)",inactive
VPHIF,VALEO PHARMA INC Common Shares,inactive
WEIIF,Wolverine Energy and Infrastructure Inc NEW Common Shares Canada (CA),inactive
CAOVF,China Overseas Land&Invt Ltd Ordinary Shares,inactive
NCEN,Nacel Energy Corp. Common Stock,inactive
HTSF,"Heartsoft, Inc. Common Stock",inactive
WDGJY,Wood Group John plc Unsponsored ADR (UK),inactive
IFBC,Italian Food & Beverage Corp Common Stock,inactive
SZIHF,Shenzhen Intl Holdings Ordinary Shares (Bermuda),inactive
GXSFF,Goldsource Mines Inc Common Shares,inactive
TLLTF,Tilt Hldgs Inc Ordinary Shares,inactive
CATV,"4Cable TV International, Inc. Common Stock",inactive
EATR,"Eastern Asteria, Inc. Common Stock",inactive
VIMGF,VIMIAN GROUP AB Ordinary Shares,inactive
TBGNF,Oxurion NV Ordinary Shares,inactive
YEWTF,Environmental Waste International Inc Ordinary Shares,inactive
TLGHF,Telenet Group Holding Nv Ordinary Shares (Belgium),inactive
DUUO,Duo World Inc Common Stock,inactive
SRXIF,ISHARES IV PLC MSCI WORLD SRI UCITS ETF USD DIST (Ireland),inactive
COUTF,China Outfitters Holdings Limited Ordinary Shares (Cayman Islands),inactive
CDNN,China Indl Stl Inc Common Stock,inactive
AOTOF,Anoto Group AB Ordinary Shares,inactive
SCSYF,SSH Communications Security OYJ SHS (Finland),inactive
DLGI,Datalogic International Inc. Common Stock,inactive
NTGL,"NanoTech Gaming, Inc. Common Stock",inactive
VKSC,Viskase Companies Inc Common Stock,inactive
GLOFF,ContourGlobal PLC Ord GBP0.01 (United Kingdom),inactive
GULRY,Guoco Group Limited Unsponsored ADR (Hong Kong),inactive
FECCF,Frontera Energy Corp Ordinary Shares,inactive
TSUKF,Toyo Suisan Kaisha Ltd Ordinary Shares (Japan),inactive
PPCQ,"Premier Pacific Construction, Inc Common Stock",inactive
ALNZF,ALLIANZ TECHNOLOGY TR PLC Ordinary Shares,inactive
GTSWF,GETSWIFT TECHNOLOGIES LTD COM,inactive
MJHI,"MJ Harvest, Inc. Common Stock",inactive
